Grantor,Grantee,grantee_clean,Zip Code,Fiscal Year,Amount,Description,Category,Fiscal Period,Date
Judiciary/Mediation and Conflict Resolution Office,Carroll County Community Mediation Center at Carroll Community College,Carroll County Community Mediation Center At Carroll Community College,21157,2012,55000,Community Mediation Performance-based Funding at Level 3.,Grant,1,06/30/2012 12:00:00 AM
State Department of Education/Division of Early Childhood Development,CHESAPEAKE COLLEGE,Chesapeake College,21679,2016,76205,Child Care and Development Fund (CCDF) - Block Grant,Grant,1,06/30/2016 12:00:00 AM
Department Of Business and Economic Development/Maryland State Arts Council,Kent County Arts Council,Kent County Arts Council,21620,2013,80558,"GRANTEE will carry out its function as the official arts council for Kent County, using COUNCIL funds for administrative and operating expenses, sub granting to local arts organizations, at least $2,000 for Artists in Education programming, and GRANTEE's programs and projects.",Grant,1,06/30/2013 12:00:00 AM
Department of Business & Economic Development/Maryland State Arts Council,Allegany Arts Council,Allegany Arts Council,21502,2010,90297,Grant funding for Community Arts Development and Arts Organizations,Grant,1,06/30/2010 12:00:00 AM
Department of Health and Mental Hygiene/Maryland Health Care Commission,Associated Black Charities,Associated Black Charities,21201,2016,26000,A telehealth grant to demonstrate the impact of using telehealth technology to improve the overall health of the population being served and the patient experience.,Grant,1,06/30/2016 12:00:00 AM
Department of Housing and Community Development/Rental Allowance Program  - General Funds,Housing Commission Of Anne Arundel County,Housing Commission Of Anne Arundel County,21060,2011,28600,short term rental assistance payments,Grant,1,06/30/2011 12:00:00 AM
"Executive Department - Boards, Commissions and Offices/Governor's Office of Crime Control and Prevention","Heartly House, Inc.","Heartly House, Inc.",21705,2016,19976,Sexual Assault Services Program,Grant,1,06/30/2016 12:00:00 AM
Maryland Department of Education/Food Services Program,YMCA OF GREATER BALTO,Ymca Of Greater Balto,21204,2012,30169.68,CASH FOR COMMOD - CHILD CARE,Grant,1,06/30/2012 12:00:00 AM
Boards and Commissions/Governor's Office of Crime Control and Prevention,Prince George's General Hospital (Dimensions Healthcare System),Prince George's General Hospital (dimensions Healthcare System),20785,2011,42822.81,Rape Crisis Assistance,Grant,1,06/30/2011 12:00:00 AM
Department of Health and Mental Hygiene/Maryland Community Health Resources Commission,"Forward Visions, Inc.","Forward Visions, Inc.",21093,2013,50000,DDA Infrastructure Services,Grant,1,06/30/2013 12:00:00 AM
Maryland Higher Education Commission/Aid to Non Public Institutions,Hood College,Hood College,21701-8575,2013,1432016,Sellinger Formula Aid,Grant,1,06/30/2013 12:00:00 AM
Maryland Technology Development Corporation/Maryland Technology Transfer & Commercialization Fund,"Magpie Sensing, LLC.","Magpie Sensing, Llc.",21218,2013,74990,Commercialization Investment,Loan,1,06/30/2013 12:00:00 AM
Maryland Energy Administration/MEEHA - Multifamily,Baywood-Rockhall,Baywood-rockhall,21661-0000,2012,262500,Building Retrofits,Grant,1,06/30/2012 12:00:00 AM
Maryland Higher Education Commission/Aid to Non Public Institutions,Johns Hopkins University,Johns Hopkins University,21218,2016,19311754,Sellinger Formula Aid,Grant,1,06/30/2016 12:00:00 AM
Maryland State Department of Education - Blind Industries and Services of MD,Blind Industries & Services of Maryland,Blind Industries & Services Of Maryland,21227,2015,531115,BLIND INDUSTRIES & SERV MD-STATE AIDED,Grant,1,06/30/2015 12:00:00 AM
Combined Heat and Power (CHP) Resilience Grant Program,"Greater Baltimore Medical Center, Inc.","Greater Baltimore Medical Center, Inc.",21204,2018,500000,Grants to encourage implementation of Combined Heat & Power technologies in eligible industrial facilities,Grant,1,06/30/2018 12:00:00 AM
Department of Agriculture/CONSERVATION GRANTS,LEAGER FARMS,Leager Farms,21668-1224,2012,95936,COVER CROP,Grant,1,06/30/2012 12:00:00 AM
Maryland Energy Administration - LMI Community Grants,Housing Authority of Cumberland (Allegany) FY15,Housing Authority Of Cumberland (allegany) Fy15,21502 - 4334,2015,100000,Energy Efficiency Grants for efficiency upgrades in the Low and Moderate Income sector.,Grant,1,06/30/2015 12:00:00 AM
Chesapeake & Atlantic Coastal Bays Trust Fund,South River Federation Inc.,South River Federation Inc.,21037,2018,1760677.58,"Funds implementation of non-point source pollution reduction best management practices, including stormwater management, stream restoration, wetland creation, and tree planting activities.",Grant,1,06/30/2018 12:00:00 AM
Maryland State Department of Education - State Aided Educational Institutions,Alice Ferguson Foundation INC,Alice Ferguson Foundation Inc,20607,2015,79378,ALICE FERGUSON CENTER-STATE AIDED,Grant,1,06/30/2015 12:00:00 AM
Department of Natural Resources/Chesapeake & Atlantic Coastal Bays Trust Fund,Maryland Therapeutic Riding Inc.,Maryland Therapeutic Riding Inc.,21032,2016,64103.17,"Payments made for the implementation of nonpoint source pollution reduction best management practices, including stormwater management, stream restoration, wetland creation, and tree planting activities.",Grant,1,06/30/2016 12:00:00 AM
Boards and Commissions - Governor's Office of Crime Control and Prevention,Prince George's General Hospital (Dimensions Healthcare System),Prince George's General Hospital (dimensions Healthcare System),20785,2015,18000,Sexual Assault Services Program,Grant,1,06/30/2015 12:00:00 AM
Department of Business and Economic Development/Maryland Tourism Development Board,PRINCE GEORGES COUNTY CVB,Prince Georges County Cvb,20774,2011,133367,Cooperative Marketing Grant Program,Grant,1,06/30/2011 12:00:00 AM
"Executive Department - Boards, Commissions and Offices/Governor's Office of Crime Control and Prevention",Family & Children's Services of Central MD,Family & Children's Services Of Central Md,21209,2016,28106.8,Maryland Victims of Crime,Grant,1,06/30/2016 12:00:00 AM
Department of Housing and Community Development/Operating Assistance Grants (OAG) Counseling,Asian American Homeowners,Asian American Homeowners,20852,2013,85020,Operating Assistance Grants (OAG) Counseling,Grant,1,06/30/2013 12:00:00 AM
Maryland Department of Health/Maryland Community Health Resources Commission,Pressley Ridge,Pressley Ridge,21502,2017,350000,Expand access to health care in underserved communities,Grant,1,06/30/2017 12:00:00 AM
Maryland Department of Education/CHILDREN AT RISK,COMMUNITY TUTORING INC,Community Tutoring Inc,20772,2013,249308,21ST CENTURY COMMUNITY LEARNING CENTERS,Grant,1,06/30/2013 12:00:00 AM
Department of Transportation/WMATA Capital,WASHINGTON SUBURBAN-TRANSIT C,Washington Suburban-transit C,20785,2010,43920049,Capital Grants Projects,Grant,1,06/30/2010 12:00:00 AM
Department of Housing and Community Development/Community Legacy,Central Baltimore Partner,Central Baltimore Partner,21218,2017,75000,Community Legacy,Grant,1,06/30/2017 12:00:00 AM
Boards and Commissions - Governor's Office of Crime Control and Prevention,"Court Appointed Special Advocate (CASA) Program of Baltimore, Inc.","Court Appointed Special Advocate (casa) Program Of Baltimore, Inc.",21202,2015,34710,Children's Justice Act Committee,Grant,1,06/30/2015 12:00:00 AM
Department of Transportation/Facilities & Capital Equipment,METRO WASH COUNCIL OF GOV,Metro Wash Council Of Gov,20002-4290,2012,2437740,MPO requirements,Grant,1,06/30/2012 12:00:00 AM
"Maryland Environmental Services/Restoration of Masonville Cove, Community Outreach","Waterfront Partnership of Baltimore, Inc.","Waterfront Partnership Of Baltimore, Inc.",21202,2014,431000,Construction of Debris Catching Water Wheel at Jones Falls and Inner Harbor,Grant,1,06/30/2014 12:00:00 AM
Department of Human Resources/Office of Grants Management,Bugg Hardnett & Associates LLC,Bugg Hardnett & Associates Llc,21218,2010,306033,Funds are used to provide employment placement and training for Strong Fathers/Strong Families program,Grant,1,06/30/2010 12:00:00 AM
Department of Health and Mental Hygiene/Prevention and Disease Control,Total Health Care Inc.,"Total Health Care, Inc.",21217,2012,92127,Cancer - Patient Reminder,Grant,1,06/30/2012 12:00:00 AM
Maryland Energy Administration/Commercial Renewable Grants,"Altus Power Funds, LLC Series II","Altus Power Funds, Llc Series Ii",06870-0000,2013,50000,Solar,Grant,1,06/30/2013 12:00:00 AM
Department of Natural Resources/RURAL LEGACY,Cecil Land Trust (lead) & Cecil County,Cecil Land Trust (lead) & Cecil County,21921,2010,219787.55,R P Peterson Farm Easement,Grant,1,06/30/2010 12:00:00 AM
Maryland Department of Education/Food Services Program,RAINBOW ADULT DAY HEALTH CARE OF MONTG COUNTY LLC,Rainbow Adult Day Health Care Of Montg County Llc,20877-4131,2012,331530.22,FOOD SERVICE - CHILD CARE,Grant,1,06/30/2012 12:00:00 AM
Department of Health and Mental Hygiene/Prevention and Disease Control,MedStar Health - Harbor Hospital,Medstar Health - Harbor Hospital,21225,2011,198269,Mad Cancer Fund-Secondary Prev & Treatment,Grant,1,06/30/2011 12:00:00 AM
State Department of Education/Children at Risk,IN REACH INC,In Reach Inc,20706,2016,350548,21st Century Community Learning Centers,Grant,1,06/30/2016 12:00:00 AM
Governor's Office of Crime Control and Prevention,YWCA of Annapolis and Anne Arundel County,Ywca Of Annapolis And Anne Arundel County,21012,2018,21882,Sexual Assault Services Program,Grant,1,06/30/2018 12:00:00 AM
Department of Agriculture/CONSERVATION GRANTS,GUNPOWDER GAME FARM,Gunpowder Game Farm,21155,2016,50506.14,"OTHER GRANTS, SUBS & CONTRIBUTION",Grant,1,06/30/2016 12:00:00 AM
Governor's Office of Crime Control and Prevention,"Court Appointed Special Advocate (CASA) Citizens Assisting and Sheltering the Abused, Inc.","Court Appointed Special Advocate (casa) Citizens Assisting And Sheltering The Abused, Inc.",21740,2018,55886,Service*Training*Officers*Prosecutors (STOP) Violence Against Women Formula Grant Program,Grant,1,06/30/2018 12:00:00 AM
Department Of Business and Economic Development/Maryland Tourism Board,CALVERT COUNTY CHAMBER OF COMMERCE,Calvert County Chamber Of Commerce,20678-0009,2014,55500,Maryland Tourism Board-General Grant,Grant,1,06/30/2014 12:00:00 AM
DEPARTMENT OF COMMERCE/MARYLAND STATE ARTS COUNCIL,GERMANTOWN CULTURAL ARTS CENTER,Germantown Cultural Arts Center,20874,2020,97999,MD STATE ARTS COUNCIL GRANTS FOR ORGANIZATIONS (OPERATING SUPPORT),Grant,1,06/30/2020 12:00:00 AM
"Department of Labor, Licensing and Regulation/Reemploymental Eligibility Assessment (REA)",Maryland Workforce Corporation,Maryland Workforce Corporation,21108,2012,898851,"Reemployment and Eligibility Assessment (REA) Initiative has the goal of  enhancing the rapid reemployment of unemployed workers, eliminating potential overpayments, and realizing cost savings for the Unemployment Insurance (UI) trust fund. On March 10, 2005, U.S. Secretary of Labor Elaine L. Chao announced the award of 21 grantsREA  Re-Employment Eligibility Assessment.  This is pays the Personnel Salaries and Fringe for the REA staff.",Grant,1,06/30/2012 12:00:00 AM
Boards and Commissions/Juvenile Accountability Block Grants Program,"Conflict Resolution Center of Baltimore County, Inc.","Conflict Resolution Center Of Baltimore County, Inc.",21221,2013,82123.35,Community Conferencing,Grant,1,06/30/2013 12:00:00 AM
Maryland Energy Administration/CEEDI,CPV Piney Reach,Cpv Piney Reach,20910-3473,2010,100000,"$100,000 for 10-MW solar project permitting",Grant,1,06/30/2010 12:00:00 AM
Department of Human Resources/Office of Grants Management,Worchester County Youth and Family Services,Worchester County Youth And Family Services,21811,2012,68620,Funds are used to provides services to victims of crime.,Grant,1,06/30/2012 12:00:00 AM
Department of Human Resources - Family Investment Administration & Office of Grants Management,Meals on Wheels of Central Maryland,Meals On Wheels Of Central Maryland,21224,2015,218242.07,"Funds are used to provide Food Supplement Outreach Programs that provides monthly benefits to eligible low-income individuals and families to help them purchase food, provide nutritional education, pre-screening, application assistance and follow-up.",Grant,1,06/30/2015 12:00:00 AM
Department of Commerce/MD Economic Development Assistance Authority & Fund,LEHIGH CEMENT COMPANY,Lehigh Cement Company,21791,2016,150000,MD Economic Development Assistance Authority & Fund,Loan,1,06/30/2016 12:00:00 AM
Department of Housing & Community Development/MultiFamily Energy Efficiency and Housing Affordability Program,"North Creek Run, LLC","North Creek Run, Llc",14604,2010,132500,energy efficiency activities/products,Grant,1,06/30/2010 12:00:00 AM
FORECLOSURE MEDIATION,COMPREHENSIVE HOUSING ASST INC,Comprehensive Housing Asst Inc.,21215,2018,76000,FORECLOSURE MEDIATION,Grant,1,06/30/2018 12:00:00 AM
Maryland Higher Education Commission/Joseph A. Sellinger Program of Aid to Nonpublic Institutions of HS,Columbia Union College (Washington Adventist University),Columbia Union College (washington Adventist University),20912,2009,975764,"Sellinger Formula Funding, Md. Ann Code, Ed. Art. 17-104",Grant,1,06/30/2009 12:00:00 AM
Department of Business and Economic Development/MD Economic Development Assistance Fund,CANTON CROSSING LLC,Canton Crossing Llc,21224,2011,2282766.56,MEDAAF Grant,Grant,1,06/30/2011 12:00:00 AM
Department of Health & Mental Hygiene/Prevention and Disease Control,Baltimore City Health Department,Baltimore City Health Department,21202,2010,532032,"H1N1, Cancer, Minority Infant/Toddler Mortality",Grant,1,06/30/2010 12:00:00 AM
Commerce/Office of Strategic Industries and Entrepreneurship,MARYLAND MEP,Maryland Mep,21045,2017,242500,Funds To Establish And Operate A New Md Manufacturing Extension,Grant,1,06/30/2017 12:00:00 AM
"Executive Department - Boards, Commissions and Offices/Governor's Office of Crime Control and Prevention","Court Appointed Special Advocate (CASA) - Prince George's County, Inc.","Court Appointed Special Advocate (casa) - Prince George's County, Inc.",20737,2016,34496.29,Maryland Victims of Crime,Grant,1,06/30/2016 12:00:00 AM
Department of Agriculture/Resource Conservation Grants,JOHN H KRASTEL,John H Krastel,216781858,2017,80780,Conservation Reserve Program,Grant,1,06/30/2017 12:00:00 AM
Governor's Office of Crime Control and Prevention/Governor's Office of Crime Control and Prevention,"Heartly House, Inc.","Heartly House, Inc.",21705,2017,13245,Legal Services for Crime Victims,Grant,1,06/30/2017 12:00:00 AM
Department of Commerce/Office of Cyber Development and Aerospace - T00F0006,TECHNOLOGY COUNCIL OF MD INC,Technology Council Of Md Inc,20850,2016,100000,Cyber Development Grant,Grant,1,06/30/2016 12:00:00 AM
Senior Center Operating / State Funds,Talbot County,Talbot County,21601,2018,5000,Senior Center Operating / State Funds,Grant,1,06/30/2018 12:00:00 AM
Department of Business and Economic Development/MD Economic Development Assistance Fund,LIFE TECHNOLOGIES CORP,Life Technologies Corp,92008,2011,500000,MEDAAF Grant,Loan,1,06/30/2011 12:00:00 AM
Maryland Department of Education/Food Services Program,RISING GENERATIONS EARLY LEARNING CTR,Rising Generations Early Learning Ctr,20743,2012,55271.22,FOOD SERVICE - CHILD CARE,Grant,1,06/30/2012 12:00:00 AM
Maryland Department of Disabilities/Department of Disabilities,National Federation of the Blind,National Federation Of The Blind,21230,2017,250000,"Grant to Support the Center of Excellence in Non-Visual Access to Education, Public Information and Commerce.",Grant,1,06/30/2017 12:00:00 AM
